index,inchikey,smiles,HOMO_calc,LUMO_calc,LUMO_calib,LUMO_calib_stds,HOMO_calib,HOMO_calib_stds,GAP_calib,molW,GAP_calc,PCE_calc,Voc_calc,Jsc_calc,FF_calc,EQE_calc,PCE_calib,Voc_calib,Jsc_calib,FF_calib,EQE_calib,PCE_cdiff,PCE_calib_plus
33250,CNZSRUIKPVOJMD-QQYWGXKINA-N,N#Cc1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5ccc6ncoc6c5)ccc43)s2)s1,-5.469488284500001,-3.8551288783264397,-3.99042917554116,0.27647780105524,-5.53527730157212,0.22465103429043604,1.5448481260309601,568.639,1.61435940617356,8.93405922180192,0.84487112167356,162.74436058205,0.65,0.65,8.23526385106668,0.7095708244588399,178.6196998027,0.65,0.65,-0.698795370735237,5.642904445693049
33251,CCHZFFPJMXSMBI-UHFFFAOYNA-N,Fc1c(F)c(-c2ncncn2)c2nsnc2c1-c1cnc(-c2c(F)c(F)c(-c3ncncn3)c3nsnc23)nc1,-6.81517030912022,-3.4558458314999996,-3.58525141280049,0.28458667692938105,-6.98700035099986,0.22965711614810103,3.4017489381993697,578.5,3.3593244776202202,0.367621667539566,1.2441541685,4.5475186506295,0.65,0.65,0.28123017976169606,1.11474858719951,3.882688782921,0.65,0.65,-0.08639148777787,0.0
33252,IVVHWKWPTGSDPK-UHFFFAOYNA-N,N#CC(C#N)=C1C=CSC(c2cnc(-c3cocc3C(=O)c3cccs3)nc2)=C1,-6.44591808106828,-3.3024888171401603,-3.6790552175163995,0.277482155402958,-6.50943175944932,0.225577064887583,2.83037654193292,414.471,3.14342926392812,0.7137579091595309,1.39751118285984,7.860374337789999,0.65,0.65,1.2571624090714,1.0209447824836,18.951200208004998,0.65,0.65,0.543404499911866,0.031161814826952006
33253,XGRULXKZXUWPCD-JEFIKHKTNA-N,O=C1Nc2cc(C(=O)O)ccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5ccc6ncoc6c5)ccc43)s2)s1,-5.33722193567101,-3.7336674398781096,-3.94167378816684,0.27832068787729697,-5.43162625248088,0.225494357489316,1.48995246431404,587.638,1.6035544957929,10.3666807197382,0.9663325601218901,165.1051792767,0.65,0.65,9.405884214067509,0.7583262118331601,190.89350305805002,0.65,0.65,-0.9607965056707231,6.7035295716812096
33254,XQFCVRZWWGXQQR-CYSPOYASNA-N,O=C1Nc2ccccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(C(F)(F)F)ccc43)s2)s1,-5.415065515499999,-3.71474873254421,-3.94440794899583,0.277600391966832,-5.475535903728349,0.22581553725095202,1.53112795473252,494.519,1.7003167829557901,9.36235340481357,0.9852512674557901,146.24654523115,0.65,0.65,8.92535556402456,0.75559205100417,181.79659014335,0.65,0.65,-0.436997840789012,4.88019806425104
33255,BZIDSPMDRUXSAH-LPPCLAOYNA-N,O=C1Nc2cc(-c3nocc3C(=O)O)ccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(C(F)(F)F)ccc43)s2)s1,-5.40251766120957,-3.7549553611342206,-3.92743466028569,0.27328896405347697,-5.507853341562231,0.224449837844774,1.5804186812765402,605.575,1.64756230007535,9.64723422010316,0.945044638865779,157.10792297005,0.65,0.65,8.55158666271783,0.7725653397143101,170.35664102405002,0.65,0.65,-1.09564755738533,5.08715559653194
33256,HCYVIRAPNCYTAE-JEFIKHKTNA-N,O=C1Nc2cc(-c3oncc3C(=O)O)ccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(C(F)(F)F)ccc43)s2)s1,-5.5297974413541695,-3.90444317528398,-4.11739891237431,0.27674309874881603,-5.63470000763592,0.225152905507489,1.5173010952616102,605.575,1.62535426607019,8.31119394485997,0.7955568247160201,160.78287804475,0.65,0.65,7.00321828623849,0.58260108762569,185.0009503641,0.65,0.65,-1.30797565862148,3.01206372308589
33257,STDOOXMXPUPRMW-YNDYHMGXNA-N,O=C1Nc2cc(-c3cncnn3)ccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(C(F)(F)F)ccc43)s2)s1,-5.551122437999999,-3.9008002988403203,-4.15494058151617,0.27601113786078,-5.62487753970486,0.22547804977556102,1.4699369581886899,573.581,1.65032213915968,8.13322150139979,0.7991997011596801,156.62276059885,0.65,0.65,6.93063040572374,0.54505941848383,195.69353492259998,0.65,0.65,-1.20259109567605,4.27471849095805
33258,PUJVAGMKFBDVMK-YNDYHMGXNA-N,O=C1Nc2cc(-c3nccnn3)ccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(C(F)(F)F)ccc43)s2)s1,-5.475133895610879,-3.82726225034584,-4.057773935611279,0.277719373538982,-5.580524760363151,0.225951889022131,1.52275082475187,573.581,1.6478716452650402,8.90910877368114,0.87273774965416,157.10792297005,0.65,0.65,7.67452496030958,0.6422260643887211,183.9124639807,0.65,0.65,-1.23458381337155,4.97514910842781
33259,ZJGXVOWPDBQKDL-UHFFFAOYNA-N,N#Cc1ccc2sc(-c3cnc(C4COc5nsnc5O4)nn3)c(-c3ccc4ncoc4c3)c2c1,-6.62629666465386,-3.14178409945032,-3.45533113270419,0.27532257145211997,-6.8025980988847605,0.22431998660809804,3.3472669661805696,497.52099999999996,3.4845125652035405,0.307145260759078,1.55821590054968,3.0336381276955002,0.65,0.65,0.37929372280139795,1.24466886729581,4.6899629921625,0.65,0.65,0.07214846204232,0.0
