Mol_ID,Source,DOI,Donor,Acceptor,Donor SMILES,Acceptor SMILES,Voc,Jsc,FF,PCE,HOMO_A,LUMO_A,Ehl_A,Eg_A,HOMO_D,LUMO_D,Ehl_D,Eg_D
1396,M,10.1021/acs.macromol.8b02360,2TC-TT-BDTFT,m-ITIC,CCCCCCC(CCCC)COC(=O)c1cc(C)sc1-c1cc2sc(-c3sc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)cc3C(=O)OCC(CCCC)CCCCCC)cc2s1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,1.06,15.25,0.593,9.65,-5.527,-3.854,1.67,1.578,-5.45,-3.5,1.95,1.95
1397,M,10.1002/aenm.201702324,J74,m-ITIC,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](C)(C)CCCCCCCC)s6)c6sc(C)cc6c(-c6ccc([Si](C)(C)CCCCCCCC)s6)c5s4)s3)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.99,15.89,0.612,9.63,-5.527,-3.854,1.67,1.578,-5.56,-3.06,2.5,1.99
1398,S,10.1039/c9tc00403c,,,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.89,15.19,0.664,9.23,-5.52,-3.82,1.7,1.7,-5.35,-3.02,2.33,2.33
1399,S,10.1002/aenm.201701125,,,CCCCCCCCC(CCCCCC)Cn1c(=O)c2cc3c(cc2c2sc(-c4ccc(C)s4)cc21)c(=O)n(CC(CCCCCC)CCCCCCC)c1cc(C)sc31,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.96,13.9,0.683,9.1,-5.5,-3.92,1.58,1.58,-5.43,-3.58,1.85,1.85
1400,S,10.1002/aenm.201900044,,,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.85,15.09,0.67,8.54,-5.21,-3.6,1.61,1.61,-4.89,-3.09,1.8,1.8
1401,M,10.1039/c8ee01546e,PJ3,m-ITIC,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c3nsnc23)sc1C,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.96,12.7,0.635,7.76,-5.527,-3.854,1.67,1.578,-5.01,-3.26,1.75,1.75
1402,S,10.1039/c8ee01546e,,,CCCCCCCCCCCCc1cc(C)sc1-c1sc(-c2sc(-c3cc4c(-c5ccc([Si](CCC)(CCC)CCC)s5)c5sc(C)cc5c(-c5ccc([Si](CCC)(CCC)CCC)s5)c4s3)cc2CCCCCCCCCCCC)c2c1C(=O)N(CC(CCCCCC)CCCCCCCC)C2=O,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,1.031,11.1,0.56,6.41,-5.54,-3.95,1.59,1.59,-5.38,-3.38,2.0,2.0
1403,M,10.1002/adma.201703344,J52,m-ITIC,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.701,17.16,0.497,5.98,-5.527,-3.854,1.67,1.578,-5.22,-3.07,2.15,1.95
1407,,,,,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCc1nc2c(-c3cc4c(s3)C3SC(/C=C5\C(=O)c6cc(F)c(F)cc6C5C(C#N)C#N)=CC3C4(CC(CC)CCCC)CC(CC)CCCC)c3sc(CCCCCC)nc3c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)C6CC(F)C(F)=CC6C5=C(C#N)C#N)cc3C4(CC(CC)CCCC)CC(CC)CCCC)c2s1,0.84,21.8,0.625,11.5,-5.37,-3.79,1.58,,-5.33,1.85,1.84,
1408,,,,,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCc1nc2c(-c3cc4c(s3)C3SC(/C=C5\C(=O)c6cscc6C5C(C#N)C#N)=CC3C4(CC(CC)CCCC)CC(CC)CCCC)c3sc(CCCCCC)nc3c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cscc6C5C(C#N)C#N)cc3C4(CC(CC)CCCC)CC(CC)CCCC)c2s1,0.85,17.97,0.668,10.17,-5.35,-3.77,1.58,,-5.33,1.85,1.84,
